How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?
,,,No,,No,,"Yes, I experienced",No,Yes,Possibly,27.0,Male,Czech Republic,,Czech Republic,
26-100,1.0,1.0,No,Less likely to hire you because of it.  ,No,Less likely to hire you because of it.  ,Maybe/Not sure,,Yes,No,26.0,Male,United States of America,Georgia,United States of America,Georgia
25-Jun,1.0,1.0,Yes,"Its more understandable. If you lost an arm, its pretty understood what you can and cant do. If you have a mental illness, it is not as defined.",Maybe,"Its more understandable. If you lost an arm, its pretty understood what you can and cant do. If you have a mental illness, it is not as defined.",No,No,No,Possibly,24.0,male,United States of America,Georgia,United States of America,Georgia
26-100,1.0,1.0,Maybe,I would only bring it up if would affect my work.,Yes,I would only bring it up if would affect my work.,Maybe/Not sure,No,Possibly,Yes,44.0,Male,United States of America,Alabama,United States of America,Alabama
More than 1000,1.0,1.0,No,None of their concern,Maybe,None of their concern,No,No,Yes,No,40.0,Male,Germany,,Germany,
,,,No,,No,,Maybe/Not sure,,No,No,42.0,Male,United States of America,Georgia,United States of America,Georgia
More than 1000,0.0,1.0,Maybe,Only if it required an accommodation ,Maybe,Only if it required an accommodation ,Maybe/Not sure,Yes,Yes,Yes,27.0,Non binary,United States of America,Ohio,United States of America,Ohio
25-Jun,1.0,1.0,No,No one will hire a cripple.,No,No one will hire a cripple.,No,No,Yes,Possibly,40.0,M,United States of America,Florida,United States of America,Florida
More than 1000,0.0,1.0,Maybe,"It would depend on how they react to my service dog. Then, it would make me seriously consider whether I wanted to work at that place of employment or not.",Maybe,"It would depend on how they react to my service dog. Then, it would make me seriously consider whether I wanted to work at that place of employment or not.","Yes, I experienced",No,Yes,Yes,38.0,Genderqueer demigirl,United States of America,New Hampshire,United States of America,New Hampshire
500-1000,1.0,1.0,Maybe,Discrimination?,No,Discrimination?,Maybe/Not sure,No,Yes,Yes,34.0,Male,United States of America,Massachusetts,United States of America,Massachusetts
26-100,1.0,0.0,No,,No,,Maybe/Not sure,Yes,Yes,Yes,27.0,female,United States of America,California,United States of America,California
More than 1000,0.0,1.0,No,,No,,No,No,No,Possibly,34.0,Male ,United States of America,North Carolina,United States of America,North Carolina
26-100,1.0,1.0,Maybe,,No,,No,No,No,No,26.0,male,United States of America,Georgia,United States of America,Georgia
,,,Maybe,It if was something like a broken leg that was visible and temporary it would be pretty normal to talk about. If it was a physical disability I could hude I would not bring it up until an offer letter was in writing. Employers discriminate a LOT.,No,It if was something like a broken leg that was visible and temporary it would be pretty normal to talk about. If it was a physical disability I could hude I would not bring it up until an offer letter was in writing. Employers discriminate a LOT.,Maybe/Not sure,Maybe,Yes,Yes,33.0,Female,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,Maybe,It depends on whether or not it was relevant to the position. ,Maybe,It depends on whether or not it was relevant to the position. ,"Yes, I observed",No,Possibly,Yes,39.0,Male,United States of America,Illinois,United States of America,Illinois
100-500,0.0,1.0,No,It doesn't effect my job much so why give them the ammo?,No,It doesn't effect my job much so why give them the ammo?,"Yes, I experienced",No,,Yes,33.0,Genderqueer/non-binary,United Kingdom,,United Kingdom,
500-1000,0.0,1.0,No,not appropriate,No,not appropriate,No,No,Yes,Yes,37.0,f,United States of America,Indiana,United States of America,Indiana
26-100,0.0,1.0,Maybe,,No,,No,,No,No,30.0,Male,United States of America,California,United States of America,California
25-Jun,1.0,1.0,No,It doesn't seem like the done thing,Maybe,It doesn't seem like the done thing,No,No,No,No,22.0,Male,United Kingdom,,United Kingdom,
,,,Maybe,,No,,Maybe/Not sure,,Yes,Yes,29.0,Male,United States of America,California,United States of America,California
25-Jun,1.0,1.0,Yes,Because it would probably be pertinent.,Maybe,Because it would probably be pertinent.,No,,No,No,51.0,Female,United States of America,Georgia,United States of America,Georgia
More than 1000,0.0,1.0,Yes,It might be pertinent to the work Iâm doing ,No,It might be pertinent to the work Iâm doing ,Maybe/Not sure,Yes,Yes,Yes,24.0,Male ,United States of America,Kentucky,United States of America,Ohio
More than 1000,1.0,1.0,No,would be concerned it affects my opportunities,No,would be concerned it affects my opportunities,No,No,Yes,Yes,37.0,Male,United States of America,Georgia,United States of America,New York
500-1000,0.0,1.0,Maybe,,Maybe,,No,No,No,No,46.0,M,United States of America,Utah,United States of America,Utah
,,,Yes,,No,,No,Yes,Yes,Possibly,43.0,Male,Canada,,Canada,
More than 1000,0.0,1.0,No,,No,,No,,Yes,Yes,50.0,M,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,Yes,,Maybe,,"Yes, I observed",No,Yes,Yes,30.0,Male,United States of America,Ohio,United States of America,Ohio
26-100,1.0,1.0,Maybe,really depends on the issue i'm having,Maybe,really depends on the issue i'm having,Maybe/Not sure,,No,No,27.0,Male,United States of America,Indiana,United States of America,Indiana
,,,No,I wouldn't consider it relevant to the position,No,I wouldn't consider it relevant to the position,No,,No,Don't Know,31.0,male,United Kingdom,,United Kingdom,
More than 1000,1.0,1.0,Maybe,,No,,"Yes, I experienced",,Yes,Yes,32.0,male,United States of America,Virginia,United States of America,Virginia
25-Jun,1.0,1.0,Maybe,Possible discrimination,No,Possible discrimination,No,,Yes,Yes,34.0,Male,United States of America,Minnesota,United States of America,Minnesota
,,,No,my line of work is not impacted by my history of physical heath thus far,No,my line of work is not impacted by my history of physical heath thus far,"Yes, I observed",Maybe,Yes,Possibly,49.0,m,United States of America,Arizona,United States of America,Arizona
,,,No,,No,,Maybe/Not sure,,Possibly,Possibly,37.0,m,Canada,,Canada,
500-1000,1.0,1.0,No,"While I do have an ADA qualifying Dx, I do not require accommodation for it.  And much like my  gender, I do NOT ever want to be a diversity hire.  I would quit on the spot any job I learned had hired me to make themselves look good on hiring a queer, female, ""disabled"" engineer.",No,"While I do have an ADA qualifying Dx, I do not require accommodation for it.  And much like my  gender, I do NOT ever want to be a diversity hire.  I would quit on the spot any job I learned had hired me to make themselves look good on hiring a queer, female, ""disabled"" engineer.",No,No,Yes,Yes,35.0,cis-Female,United States of America,Arizona,United States of America,Arizona
100-500,1.0,1.0,No,"I expect it would make them less likely to hire me, even if it wouldnât affect my fitness for the job. Itâs safer to discuss that after an offer is made.",No,"I expect it would make them less likely to hire me, even if it wouldnât affect my fitness for the job. Itâs safer to discuss that after an offer is made.","Yes, I experienced",,Yes,Yes,33.0,Nonbinary,Switzerland,,Switzerland,
26-100,1.0,1.0,Maybe,It may not be relevant,No,It may not be relevant,No,No,No,No,32.0,Male,India,,India,
More than 1000,0.0,1.0,No,,No,,Maybe/Not sure,No,No,No,31.0,Male,United States of America,Nevada,United States of America,Nevada
More than 1000,0.0,1.0,Maybe,If it is a barrier for my ability to do the work.,No,If it is a barrier for my ability to do the work.,"Yes, I observed",Yes,Yes,Yes,33.0,Male,United States of America,Washington,United States of America,Washington
More than 1000,1.0,1.0,No,It's too easy to discriminate against this in an interview process without any repercussion for them.,No,It's too easy to discriminate against this in an interview process without any repercussion for them.,Maybe/Not sure,,Don't Know,Yes,40.0,Female,United States of America,Illinois,United States of America,Illinois
500-1000,1.0,1.0,Maybe,Negative perception,Maybe,Negative perception,No,No,No,No,40.0,male,United States of America,Michigan,United States of America,Michigan
,,,Yes,To manage expectations surrounding time off as needed,No,To manage expectations surrounding time off as needed,"Yes, I observed",Maybe,No,No,56.0,Male,United States of America,Oregon,United States of America,Oregon
26-100,1.0,1.0,No,,No,,"Yes, I experienced",No,Yes,Yes,28.0,Nonbinary,United States of America,Illinois,United States of America,Illinois
5-Jan,0.0,1.0,Maybe,I wouldn't because it might impact my work relationship in a negative way,No,I wouldn't because it might impact my work relationship in a negative way,"Yes, I observed",No,No,No,25.0,Male ,United States of America,Virginia,United States of America,Virginia
25-Jun,1.0,1.0,Yes,I'm open,Yes,I'm open,No,No,Yes,Yes,48.0,Male,United States of America,Michigan,United States of America,Michigan
More than 1000,0.0,1.0,No,My physical health issues do not effect my ability to work and are therefor not their business at the interview stage. Though googling my name will lead to my web site where I discuss my surgery for a rare birth defect.,No,My physical health issues do not effect my ability to work and are therefor not their business at the interview stage. Though googling my name will lead to my web site where I discuss my surgery for a rare birth defect.,Maybe/Not sure,Yes,Yes,Yes,43.0,cis female,United States of America,Oregon,United States of America,Oregon
26-100,1.0,1.0,Maybe,"I would only bring up if it required job adaptation, otherwise it'd wait until after hiring ",No,"I would only bring up if it required job adaptation, otherwise it'd wait until after hiring ",No,Maybe,No,No,29.0,Male,United States of America,Texas,United States of America,New York
More than 1000,0.0,1.0,Yes,"I was interviewing while recovering from a broken bone in my hand, which temporarily delayed my ability to drive and do keyboarding work.",Maybe,"I was interviewing while recovering from a broken bone in my hand, which temporarily delayed my ability to drive and do keyboarding work.",Maybe/Not sure,No,Yes,Yes,36.0,nonbinary,United States of America,Oregon,United States of America,Oregon
100-500,1.0,1.0,Yes,Unlikely to impact job performance. ,No,Unlikely to impact job performance. ,Maybe/Not sure,No,Yes,Yes,34.0,Male,United States of America,California,United States of America,California
26-100,1.0,0.0,No,I feel like I would be judged for being weak.,No,I feel like I would be judged for being weak.,Maybe/Not sure,Yes,Possibly,Possibly,31.0,female,United States of America,New York,United States of America,New York
More than 1000,1.0,1.0,Maybe,If I felt it would add context to my performance in the interview,No,If I felt it would add context to my performance in the interview,No,No,No,No,33.0,Male ,United Kingdom,,United Kingdom,
More than 1000,0.0,1.0,No,,No,,No,,Yes,Don't Know,49.0,Male,United States of America,Illinois,United States of America,Illinois
,,,Maybe,Depends on how I see the other people and how I think they might react,No,Depends on how I see the other people and how I think they might react,"Yes, I observed",Maybe,No,Possibly,38.0,Male,United Kingdom,,United Kingdom,
25-Jun,1.0,1.0,Yes,,No,,"Yes, I experienced",,No,No,30.0,Female,Australia,,Australia,
,,,Maybe,Potential for rejection,Maybe,Potential for rejection,Maybe/Not sure,,,Yes,36.0,Male,United Kingdom,,United Kingdom,
100-500,0.0,1.0,No,"I require ergonomic accommodations to prevent wrist injury, and that can be expensive. I wouldn't want the cost of setting up the right kind of workspace to be a factor in whether or not I get a job.",No,"I require ergonomic accommodations to prevent wrist injury, and that can be expensive. I wouldn't want the cost of setting up the right kind of workspace to be a factor in whether or not I get a job.",Maybe/Not sure,,Don't Know,Yes,32.0,woman,United States of America,Minnesota,United States of America,Minnesota
,,,Maybe,I would bring it up if it were pertinent to the job. e.g. being able to lift heavy boxes,No,I would bring it up if it were pertinent to the job. e.g. being able to lift heavy boxes,No,No,Possibly,Don't Know,36.0,male,United States of America,Indiana,United States of America,Indiana
100-500,1.0,1.0,No,Don't want to create a reason for them to discriminate against me. ,No,Don't want to create a reason for them to discriminate against me. ,Maybe/Not sure,,Yes,Yes,40.0,"F, cisgender",United States of America,Washington,United States of America,Washington
26-100,1.0,1.0,Yes,,Maybe,,No,No,Possibly,No,28.0,Male,United Kingdom,,United Kingdom,
More than 1000,1.0,1.0,Yes,,No,,No,No,No,Possibly,21.0,Female,India,,India,
500-1000,1.0,1.0,No,"Until I'm employed, it isn't any of their business because it shouldn't influence their hiring decision.",No,"Until I'm employed, it isn't any of their business because it shouldn't influence their hiring decision.",Maybe/Not sure,,Yes,Yes,46.0,Male,United States of America,Washington,United States of America,Washington
25-Jun,1.0,1.0,Maybe,,Maybe,,No,No,Yes,Yes,20.0,male,Germany,,Germany,
More than 1000,0.0,1.0,Yes,I like to set expectations,Yes,I like to set expectations,"Yes, I experienced",No,Yes,Yes,30.0,Male,United States of America,Wisconsin,United States of America,Wisconsin
100-500,1.0,1.0,Maybe,Depends on the issue and if I would need accommodations. I would also use it to judge how supportive the company would be. If they can't accommodate I wouldn't want to work there. ,Maybe,Depends on the issue and if I would need accommodations. I would also use it to judge how supportive the company would be. If they can't accommodate I wouldn't want to work there. ,No,No,Yes,No,44.0,female,United States of America,Washington,United States of America,Washington
,,,Yes,Could stop me coming in to the office,Yes,Could stop me coming in to the office,Maybe/Not sure,No,Possibly,Yes,34.0,Male,United Kingdom,,United Kingdom,
,,,Maybe,Tech goes through various fitness crazes and I think people with physical health issues are often seen as 'poor players'.,No,Tech goes through various fitness crazes and I think people with physical health issues are often seen as 'poor players'.,"Yes, I observed",,Yes,Yes,38.0,Female-ish,United States of America,Oregon,United States of America,Oregon
25-Jun,1.0,1.0,Yes,People seem to be understanding of physical health issues,No,People seem to be understanding of physical health issues,Maybe/Not sure,Yes,Yes,Yes,35.0,Male,United States of America,Maryland,United States of America,Maryland
,,,Maybe,"Only if it has any bearing on the position (accessibility, etc).",No,"Only if it has any bearing on the position (accessibility, etc).",Maybe/Not sure,,Possibly,Possibly,45.0,Female,United States of America,Oregon,United States of America,Oregon
100-500,1.0,1.0,Maybe,Only if it was directly relevant,No,Only if it was directly relevant,No,No,Yes,Yes,35.0,Male,United Kingdom,,United Kingdom,
25-Jun,1.0,1.0,Maybe,Depends on perceived risk to hirability and sense of personal privacy.,Maybe,Depends on perceived risk to hirability and sense of personal privacy.,Maybe/Not sure,No,No,No,30.0,male,United States of America,Washington,United States of America,Washington
100-500,1.0,1.0,No,"Unless it was directly affecting how I worked, it could be something we can work out afterwards",No,"Unless it was directly affecting how I worked, it could be something we can work out afterwards","Yes, I observed",No,Yes,No,22.0,Female,United States of America,Michigan,United States of America,Michigan
,,,Yes,It's more acceptable to discuss physical issues.  Most people can understand a physical issue.,Maybe,It's more acceptable to discuss physical issues.  Most people can understand a physical issue.,No,Yes,No,No,33.0,Male,United States of America,California,United States of America,California
,,,Yes,Physical health is mostly out of my control and doesn't have the same stigma that mental health issues do.,No,Physical health is mostly out of my control and doesn't have the same stigma that mental health issues do.,Maybe/Not sure,,Possibly,Possibly,30.0,male,India,,India,
100-500,1.0,1.0,No,Bringing up health issues may lead to discrimination against myself.,No,Bringing up health issues may lead to discrimination against myself.,No,,No,No,41.0,Male,United States of America,Maryland,United States of America,Maryland
26-100,1.0,1.0,Maybe,If it's relevant to the position or could impact performance it seems fair to bring it up.,Maybe,If it's relevant to the position or could impact performance it seems fair to bring it up.,No,Yes,No,No,32.0,Male,United States of America,Washington,United States of America,Washington
100-500,1.0,1.0,Yes,If it could impact the job.,No,If it could impact the job.,No,,No,No,48.0,Male,United States of America,Alabama,United States of America,Alabama
26-100,1.0,1.0,No,I fear employers might feel I'm a less interesting candidate if they know about physical health issues.,No,I fear employers might feel I'm a less interesting candidate if they know about physical health issues.,"Yes, I observed",Yes,Yes,No,32.0,male,Germany,,Germany,
500-1000,0.0,1.0,Yes,just seems more normalized.,No,just seems more normalized.,No,,Possibly,Possibly,30.0,Male,United States of America,Maine,United States of America,Maine
26-100,0.0,1.0,Maybe,,Maybe,,Maybe/Not sure,No,Yes,Yes,45.0,Female,United States of America,California,United States of America,California
,,,No,,No,,No,No,Yes,Yes,31.0,Female,United States of America,Texas,United States of America,Texas
26-100,1.0,1.0,No,If it wouldn't impact my job I don't see why I should disclose it.,No,If it wouldn't impact my job I don't see why I should disclose it.,No,,Don't Know,Possibly,32.0,\-,United Kingdom,,United Kingdom,
More than 1000,0.0,1.0,No,Feel like it would put me at a disadvantage over other candidates.,No,Feel like it would put me at a disadvantage over other candidates.,No,No,No,Yes,30.0,m,United States of America,Colorado,United States of America,Colorado
25-Jun,1.0,1.0,Maybe,,No,,Maybe/Not sure,,Possibly,Yes,32.0,Male,United States of America,Minnesota,United States of America,Minnesota
100-500,1.0,1.0,No,Fear of negative opinion ,No,Fear of negative opinion ,"Yes, I experienced",Maybe,Yes,Yes,37.0,Female,United States of America,Michigan,United States of America,Michigan
,,,Maybe,Not relevant to the work,No,Not relevant to the work,"Yes, I observed",Yes,Possibly,Possibly,30.0,Male,United States of America,Utah,United States of America,Utah
,,,No,,No,,Maybe/Not sure,No,Yes,Yes,31.0,trans woman,Netherlands,,Netherlands,
25-Jun,1.0,1.0,Yes,"Had a motorcycle crash, so it informs about my current career path",No,"Had a motorcycle crash, so it informs about my current career path",No,No,Possibly,No,30.0,Male,United States of America,Tennessee,United States of America,Tennessee
100-500,1.0,1.0,No,Not something I want to be used to sour the interview,No,Not something I want to be used to sour the interview,Maybe/Not sure,No,Don't Know,Possibly,35.0,Female,United Kingdom,,United Kingdom,
More than 1000,1.0,1.0,Maybe,,Maybe,,No,No,No,No,37.0,Male,United States of America,Illinois,United States of America,Illinois
26-100,1.0,1.0,Maybe,Depends on how able it would make me to do the job.,No,Depends on how able it would make me to do the job.,"Yes, I experienced",,Yes,Possibly,26.0,Male,United Kingdom,,United Kingdom,
26-100,1.0,1.0,No,improper timing,No,improper timing,Maybe/Not sure,Maybe,Possibly,Possibly,50.0,male,United States of America,Nebraska,United States of America,Nebraska
25-Jun,1.0,1.0,No,any weakness of any sort is detrimental ,No,any weakness of any sort is detrimental ,Maybe/Not sure,Maybe,Possibly,Possibly,32.0,m,United States of America,California,United States of America,California
100-500,1.0,1.0,No,"Could risk getting the job. Besides, that is my personal business and I don't think they need to know.",No,"Could risk getting the job. Besides, that is my personal business and I don't think they need to know.",No,No,No,No,32.0,male,United States of America,Nebraska,United States of America,Nebraska
5-Jan,1.0,1.0,Yes,It's only fair to let an employer know of something that may hamper your work.,No,It's only fair to let an employer know of something that may hamper your work.,No,,No,No,23.0,Male,United States of America,New York,United States of America,New York
26-100,1.0,1.0,No,fear of not being hired,No,fear of not being hired,"Yes, I observed",Maybe,Yes,Possibly,40.0,f,United States of America,Nebraska,United States of America,Nebraska
5-Jan,1.0,1.0,Maybe,"I wouldn't want to give them any reason *not* to hire me, and the issue might be stigmatized.",No,"I wouldn't want to give them any reason *not* to hire me, and the issue might be stigmatized.",No,,No,No,36.0,M,United States of America,Tennessee,United States of America,Connecticut
26-100,1.0,0.0,No,I don't want them to think I can't handle anythign or will have more sick days,No,I don't want them to think I can't handle anythign or will have more sick days,No,No,Yes,Yes,24.0,female,United States of America,Nebraska,United States of America,Nebraska
25-Jun,1.0,1.0,Maybe,,Maybe,,Maybe/Not sure,,No,No,29.0,F,United States of America,Washington,United States of America,Washington
26-100,1.0,1.0,Maybe,It would depend on if I thought the revealing of the issue would cost me the job opportunity or not.,Maybe,It would depend on if I thought the revealing of the issue would cost me the job opportunity or not.,No,,No,No,28.0,Male,United States of America,Nebraska,United States of America,Nebraska
26-100,1.0,1.0,Maybe,Depends on whether it may interfere with performance of tasks hired for,Maybe,Depends on whether it may interfere with performance of tasks hired for,No,No,Possibly,No,51.0,male,United States of America,Florida,United States of America,Florida
26-100,1.0,1.0,No,Not appropriate for interview.,No,Not appropriate for interview.,No,No,No,No,36.0,Male,United States of America,Nebraska,United States of America,Nebraska
26-100,1.0,1.0,Maybe,,No,,No,No,No,No,40.0,male,United States of America,Nebraska,United States of America,Nebraska
100-500,1.0,1.0,No,Wouldn't want this to have an impact on the decision to hire me or not.,No,Wouldn't want this to have an impact on the decision to hire me or not.,"Yes, I observed",,Yes,Possibly,39.0,M,Canada,,Canada,
100-500,1.0,1.0,Maybe,I have hearing loss and i can only hear 20% at one side (i kan still hear stuff but don't understand words). I've never broth it up at the interview. I feel about it like I do about wearing glasses. You don't discuss those I well. It is something that I've dealt with and I function well. I don't consider it a problem.,Maybe,I have hearing loss and i can only hear 20% at one side (i kan still hear stuff but don't understand words). I've never broth it up at the interview. I feel about it like I do about wearing glasses. You don't discuss those I well. It is something that I've dealt with and I function well. I don't consider it a problem.,No,No,No,No,32.0,f,Netherlands,,Netherlands,
100-500,0.0,1.0,No,Anxiety,No,Anxiety,Maybe/Not sure,No,Possibly,Possibly,45.0,Male,United States of America,Louisiana,United States of America,Louisiana
500-1000,1.0,1.0,No,Would only do so if it affected my ability to perform the job being interviewed for.,No,Would only do so if it affected my ability to perform the job being interviewed for.,No,No,No,No,39.0,Male,United States of America,Connecticut,United States of America,Connecticut
,,,Maybe,"I would avoid it if possible, no reason to advertise a problem.  I feel like you cannot unring a bell, so it can't possibly help me get a job.",No,"I would avoid it if possible, no reason to advertise a problem.  I feel like you cannot unring a bell, so it can't possibly help me get a job.",No,,Yes,Yes,33.0,m,United States of America,Indiana,United States of America,Indiana
More than 1000,1.0,1.0,Maybe,,No,,Maybe/Not sure,,Possibly,Yes,46.0,m,United States of America,Utah,United States of America,Utah
26-100,1.0,1.0,Maybe,,No,,Maybe/Not sure,No,Possibly,Don't Know,34.0,Male,United States of America,Minnesota,United States of America,Minnesota
25-Jun,1.0,1.0,Maybe,Free talk and opportunity to mitigate this issue at work versus risk on my application,No,Free talk and opportunity to mitigate this issue at work versus risk on my application,"Yes, I observed",No,No,No,30.0,Male,France,,France,
25-Jun,1.0,1.0,No,Only if it would prevent me doing the work but even then I might lie to get the job.,Yes,Only if it would prevent me doing the work but even then I might lie to get the job.,No,No,Yes,Yes,31.0,Male,United States of America,New Hampshire,United States of America,New Hampshire
26-100,1.0,1.0,Maybe,,No,,No,Yes,Possibly,Yes,28.0,Male,United States of America,Washington,United States of America,Oregon
,,,No,"Not relevant, and UK protects from discrimination so I don't think disclosure is necessary until a job offer is made, unless it directly prohibits me from performing usual duties.",No,"Not relevant, and UK protects from discrimination so I don't think disclosure is necessary until a job offer is made, unless it directly prohibits me from performing usual duties.",No,No,Yes,Possibly,31.0,Male,United Kingdom,,United Kingdom,
100-500,0.0,1.0,No,If it doesn't impact on how I do the job it has no place in an inteview,No,If it doesn't impact on how I do the job it has no place in an inteview,No,,No,Possibly,32.0,Male,United Kingdom,,United Kingdom,
More than 1000,1.0,1.0,Maybe,not part of the job,No,not part of the job,Maybe/Not sure,Maybe,Possibly,Don't Know,39.0,male,United States of America,Oregon,United States of America,Oregon
More than 1000,1.0,1.0,Yes,,No,,"Yes, I observed",No,No,No,45.0,F,United States of America,California,United States of America,California
,,,Maybe,,No,,No,Yes,Don't Know,Don't Know,26.0,Male,United States of America,Missouri,United States of America,Missouri
More than 1000,1.0,1.0,Maybe,,Maybe,,Maybe/Not sure,No,No,Possibly,36.0,Female,United States of America,California,United States of America,California
500-1000,1.0,1.0,Maybe,"I think it depends on how it comes up, or why they would be asking me about physical health issues",Maybe,"I think it depends on how it comes up, or why they would be asking me about physical health issues",Maybe/Not sure,Maybe,Yes,Yes,26.0,Male,United States of America,California,United States of America,California
25-Jun,1.0,1.0,No,Fear it might cause me to lose the job,No,Fear it might cause me to lose the job,No,No,Don't Know,Don't Know,55.0,female,United States of America,Indiana,United States of America,Indiana
,,,Maybe,"I don't have any physical issue that impacts my ability to perform, but I could one day and I wouldn't want to hide something obvious.",No,"I don't have any physical issue that impacts my ability to perform, but I could one day and I wouldn't want to hide something obvious.","Yes, I experienced",Yes,Yes,Yes,32.0,F,Canada,,Canada,
More than 1000,1.0,1.0,No,Perceived hirability,No,Perceived hirability,Maybe/Not sure,Maybe,Yes,Possibly,40.0,Transfeminine,United States of America,Washington,United States of America,Washington
More than 1000,0.0,1.0,No,,No,,"Yes, I observed",No,Yes,Yes,27.0,female,United States of America,North Carolina,United States of America,North Carolina
More than 1000,0.0,1.0,No,To protect my privacy/fear of discrimination,No,To protect my privacy/fear of discrimination,"Yes, I observed",No,Yes,Yes,45.0,female,United States of America,California,United States of America,California
26-100,1.0,1.0,No,"I have Crohn's disease, and I'd be afraid that revealing that in an interview would create a negative bias against me.",No,"I have Crohn's disease, and I'd be afraid that revealing that in an interview would create a negative bias against me.","Yes, I observed",Maybe,Yes,Yes,34.0,female,United States of America,California,United States of America,California
500-1000,0.0,1.0,Maybe,"Depends on any stigma around the issue, potential impact on the job.",Maybe,"Depends on any stigma around the issue, potential impact on the job.",Maybe/Not sure,Yes,No,No,31.0,Male,United States of America,California,United States of America,California
,,,Maybe,I wouldn't want anyone to think I was a cost burden or that they'd need extra resources to hire me.,No,I wouldn't want anyone to think I was a cost burden or that they'd need extra resources to hire me.,"Yes, I experienced",Yes,Yes,Yes,29.0,female,Canada,,Canada,
,,,Maybe,"It depends on whether I thought the issue was relevant to the employer, and whether I would require some kind of accommodation from the employer.",Maybe,"It depends on whether I thought the issue was relevant to the employer, and whether I would require some kind of accommodation from the employer.",No,,Possibly,Possibly,31.0,Male,Sweden,,Sweden,
100-500,0.0,1.0,Maybe,I would have to be a very significant issue for me to bring it up. In the end is what can exclude me when compared to another candidate.,Maybe,I would have to be a very significant issue for me to bring it up. In the end is what can exclude me when compared to another candidate.,"Yes, I observed",No,Yes,Possibly,40.0,Male,United States of America,Florida,United States of America,Florida
26-100,0.0,1.0,Maybe,It may not be relevant.,No,It may not be relevant.,No,,No,No,41.0,Male,United States of America,Wisconsin,United States of America,Wisconsin
100-500,1.0,1.0,No,"I don't feel that an interview is the right place for that. If I have some special need that impacts my ability to take a role at a new employer, I will discuss that after an offer while negotiating terms.",No,"I don't feel that an interview is the right place for that. If I have some special need that impacts my ability to take a role at a new employer, I will discuss that after an offer while negotiating terms.",No,,No,No,39.0,M,United States of America,New York,United States of America,New York
25-Jun,1.0,1.0,No,Fear of discrimination,No,Fear of discrimination,No,No,No,No,39.0,Male,United States of America,Washington,United States of America,Tennessee
,,,Maybe,I don't want to imply that I'm not capable of doing the work. I'd probably only disclose if offered the position.,No,I don't want to imply that I'm not capable of doing the work. I'd probably only disclose if offered the position.,"Yes, I experienced",Maybe,Yes,Yes,35.0,Female,United States of America,Kentucky,United States of America,Kentucky
More than 1000,1.0,1.0,No,I would only bring up a health issue in an interview to confirm accommodations I would need,No,I would only bring up a health issue in an interview to confirm accommodations I would need,Maybe/Not sure,,No,No,37.0,m,United States of America,Wisconsin,United States of America,Wisconsin
25-Jun,0.0,1.0,Yes,The physical health issue doesn't imply that I won't be able to perform my work effciently ,No,The physical health issue doesn't imply that I won't be able to perform my work effciently ,No,Yes,No,No,32.0,Male,France,,France,
100-500,1.0,1.0,Yes,"Not in a context without work, I can find another job everywhere. I think it is better for both of us to  be honnest about this because I think it could bring something more, not something less.",Yes,"Not in a context without work, I can find another job everywhere. I think it is better for both of us to  be honnest about this because I think it could bring something more, not something less.",No,,No,No,24.0,Man,France,,France,
More than 1000,1.0,1.0,Yes,I would cause honesty is more long-term efficient,Maybe,I would cause honesty is more long-term efficient,No,Maybe,Yes,No,40.0,F,France,,France,
26-100,0.0,0.0,Yes,A physical health issue may impact my ability to work without accommodation.,Maybe,A physical health issue may impact my ability to work without accommodation.,"Yes, I observed",No,Yes,Yes,25.0,Cis-male,United States of America,Ohio,United States of America,Ohio
26-100,1.0,1.0,Maybe,Depending of the impact in my roles,Maybe,Depending of the impact in my roles,Maybe/Not sure,,No,No,49.0,Male,United Kingdom,,United Kingdom,
100-500,0.0,1.0,No,,Maybe,,Maybe/Not sure,Maybe,Yes,Yes,28.0,Male,United States of America,Tennessee,United States of America,Tennessee
25-Jun,1.0,1.0,No,I dont want to give them a reason not to hire me,No,I dont want to give them a reason not to hire me,"Yes, I experienced",No,No,Possibly,22.0,Male,United States of America,Indiana,United States of America,Indiana
More than 1000,1.0,1.0,Maybe,Depends what it is and how it might impact my work,Maybe,Depends what it is and how it might impact my work,No,,No,No,41.0,Male,United States of America,North Carolina,United States of America,North Carolina
26-100,1.0,1.0,Maybe,It depends on if I'm worried that it would affect job performance.,Maybe,It depends on if I'm worried that it would affect job performance.,No,No,No,Possibly,36.0,Male,United States of America,Nebraska,United States of America,Nebraska
5-Jan,1.0,1.0,Maybe,Only if it would interfere with my ability to perform my job in any way.,Maybe,Only if it would interfere with my ability to perform my job in any way.,Maybe/Not sure,No,Possibly,No,32.0,Male,United States of America,Indiana,United States of America,Indiana
